Month,all fuels (utility-scale) thousand megawatthours,coal_thousand_megawatthours,natural_gas_thousand_megawatthours
Apr 2008,305865.03122,146983.02391,63046.09796
Mar 2008,324629.84959,160743.24304,62170.57985
Feb 2008,325105.5971,166666.35479,60042.0118
Jan 2008,362998.42904,182875.5043,72599.9011
Dec 2007,346290.33052,173829.86553,66807.82797
Nov 2007,314102.5426,159382.45455,60636.79925
Oct 2007,332615.41638,162234.35613,78358.02381
Sep 2007,355393.91186,169391.27283,88531.61471
Aug 2007,421796.65927,190134.81633,121338.42663
Jul 2007,393226.43225,185053.78761,97482.67572
Jun 2007,362754.87722,173512.88404,81511.45079
May 2007,330202.75802,157513.28116,66469.7005
Apr 2007,303129.0636,146249.54121,60152.84758
Mar 2007,320471.24253,159811.07388,56203.82094
Feb 2007,323230.39483,163602.81256,57622.07125
Jan 2007,353531.09477,175739.4377,61474.53193
Dec 2006,336283.2459,173508.95112,56128.18599
Nov 2006,309158.82642,159439.51728,53439.69272
Oct 2006,321567.09131,161389.65914,70640.03895
Sep 2006,332055.32084,161590.35416,72673.34798
Aug 2006,407762.53636,189454.92967,106591.66595
Jul 2006,410420.79333,187820.87151,108093.51438
Jun 2006,364259.79756,169693.4782,81060.20993
May 2006,330615.57003,157009.75508,65585.60534
Apr 2006,297858.07754,141426.23364,56090.85628
Mar 2006,318729.79961,161325.11525,54921.74189
Feb 2006,307333.43003,158616.18891,47408.9894
Jan 2006,328657.73849,169236.08057,43806.92078
Dec 2005,348101.07055,177965.17958,53992.60122
Nov 2005,306115.23623,158797.52701,49440.22594
Oct 2005,316397.92361,162436.79301,55940.88089
Sep 2005,350217.80051,171656.21549,73355.48269
Aug 2005,404940.68107,187573.75443,100786.65435
Jul 2005,402273.84646,186090.75719,96819.41031
Jun 2005,363671.63602,174866.99726,75635.49254
May 2005,315062.10994,153957.96154,54826.00402
Apr 2005,289562.39987,143083.23903,52016.28598
Mar 2005,317458.27645,163612.7005,51896.97271
Feb 2005,298500.31558,155818.01413,44912.61665
Jan 2005,343121.45336,177013.90662,51337.62707
